2019-11-13 19:05:40,083 p=2745 u=yd |  PLAY [Install nginx on different VM's] ***********************************************************************************
2019-11-13 19:05:40,133 p=2745 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:05:48,751 p=2745 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:05:50,525 p=2745 u=yd |  ok: [ydBSD]
2019-11-13 19:05:50,772 p=2745 u=yd |  ok: [centos7]
2019-11-13 19:05:50,826 p=2745 u=yd |  TASK [nginx_tags : Start nginx CentOS] ***********************************************************************************
2019-11-13 19:05:50,933 p=2745 u=yd |  skipping: [ydBSD]
2019-11-13 19:05:51,027 p=2745 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:05:56,043 p=2745 u=yd |  changed: [centos7]
2019-11-13 19:05:56,093 p=2745 u=yd |  PLAY [ydBSD] *************************************************************************************************************
2019-11-13 19:05:56,158 p=2745 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:06:01,177 p=2745 u=yd |  ok: [ydBSD]
2019-11-13 19:06:01,225 p=2745 u=yd |  TASK [nginx_tags : Start nginx CentOS] ***********************************************************************************
2019-11-13 19:06:01,311 p=2745 u=yd |  skipping: [ydBSD]
2019-11-13 19:06:01,350 p=2745 u=yd |  PLAY [centos7] ***********************************************************************************************************
2019-11-13 19:06:01,419 p=2745 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:06:07,621 p=2745 u=yd |  ok: [centos7]
2019-11-13 19:06:07,699 p=2745 u=yd |  TASK [nginx_tags : Start nginx CentOS] ***********************************************************************************
2019-11-13 19:06:10,526 p=2745 u=yd |  ok: [centos7]
2019-11-13 19:06:10,566 p=2745 u=yd |  PLAY [yd-ubuntu] *********************************************************************************************************
2019-11-13 19:06:10,656 p=2745 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:06:14,119 p=2745 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:06:14,176 p=2745 u=yd |  TASK [nginx_tags : Start nginx CentOS] ***********************************************************************************
2019-11-13 19:06:14,255 p=2745 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:06:14,262 p=2745 u=yd |  PLAY RECAP ***************************************************************************************************************
2019-11-13 19:06:14,263 p=2745 u=yd |  centos7                    : ok=4    changed=1    unreachable=0    failed=0   
2019-11-13 19:06:14,264 p=2745 u=yd |  yd-ubuntu                  : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:06:14,266 p=2745 u=yd |  ydBSD                      : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:07:24,249 p=2929 u=yd |  PLAY [Install nginx on different VM's] ***********************************************************************************
2019-11-13 19:07:24,300 p=2929 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:07:32,601 p=2929 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:07:35,083 p=2929 u=yd |  ok: [ydBSD]
2019-11-13 19:07:36,051 p=2929 u=yd |  ok: [centos7]
2019-11-13 19:07:36,103 p=2929 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:07:36,232 p=2929 u=yd |  skipping: [ydBSD]
2019-11-13 19:07:36,333 p=2929 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:07:41,031 p=2929 u=yd |  changed: [centos7]
2019-11-13 19:07:41,083 p=2929 u=yd |  PLAY [ydBSD] *************************************************************************************************************
2019-11-13 19:07:41,159 p=2929 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:07:46,171 p=2929 u=yd |  ok: [ydBSD]
2019-11-13 19:07:46,212 p=2929 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:07:46,306 p=2929 u=yd |  skipping: [ydBSD]
2019-11-13 19:07:46,355 p=2929 u=yd |  PLAY [centos7] ***********************************************************************************************************
2019-11-13 19:07:46,431 p=2929 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:07:53,190 p=2929 u=yd |  ok: [centos7]
2019-11-13 19:07:53,255 p=2929 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:07:57,166 p=2929 u=yd |  ok: [centos7]
2019-11-13 19:07:57,210 p=2929 u=yd |  PLAY [yd-ubuntu] *********************************************************************************************************
2019-11-13 19:07:57,294 p=2929 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:08:00,940 p=2929 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:08:00,995 p=2929 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:08:01,076 p=2929 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:08:01,084 p=2929 u=yd |  PLAY RECAP ***************************************************************************************************************
2019-11-13 19:08:01,085 p=2929 u=yd |  centos7                    : ok=4    changed=1    unreachable=0    failed=0   
2019-11-13 19:08:01,087 p=2929 u=yd |  yd-ubuntu                  : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:08:01,088 p=2929 u=yd |  ydBSD                      : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:08:58,672 p=3105 u=yd |  PLAY [Install nginx on different VM's] ***********************************************************************************
2019-11-13 19:08:58,736 p=3105 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:09:06,757 p=3105 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:09:09,299 p=3105 u=yd |  ok: [ydBSD]
2019-11-13 19:09:10,377 p=3105 u=yd |  ok: [centos7]
2019-11-13 19:09:10,436 p=3105 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:09:10,556 p=3105 u=yd |  skipping: [ydBSD]
2019-11-13 19:09:10,687 p=3105 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:09:14,773 p=3105 u=yd |  ok: [centos7]
2019-11-13 19:09:14,815 p=3105 u=yd |  PLAY [ydBSD] *************************************************************************************************************
2019-11-13 19:09:14,886 p=3105 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:09:19,500 p=3105 u=yd |  ok: [ydBSD]
2019-11-13 19:09:19,544 p=3105 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:09:19,675 p=3105 u=yd |  skipping: [ydBSD]
2019-11-13 19:09:19,712 p=3105 u=yd |  PLAY [centos7] ***********************************************************************************************************
2019-11-13 19:09:19,794 p=3105 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:09:26,000 p=3105 u=yd |  ok: [centos7]
2019-11-13 19:09:26,076 p=3105 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:09:28,741 p=3105 u=yd |  ok: [centos7]
2019-11-13 19:09:28,784 p=3105 u=yd |  PLAY [yd-ubuntu] *********************************************************************************************************
2019-11-13 19:09:28,856 p=3105 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:09:32,286 p=3105 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:09:32,346 p=3105 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:09:32,433 p=3105 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:09:32,439 p=3105 u=yd |  PLAY RECAP ***************************************************************************************************************
2019-11-13 19:09:32,442 p=3105 u=yd |  centos7                    : ok=4    changed=0    unreachable=0    failed=0   
2019-11-13 19:09:32,443 p=3105 u=yd |  yd-ubuntu                  : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:09:32,444 p=3105 u=yd |  ydBSD                      : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:09:56,021 p=3219 u=yd |  PLAY [Install nginx on different VM's] ***********************************************************************************
2019-11-13 19:09:56,072 p=3219 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:10:02,229 p=3219 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:10:03,158 p=3219 u=yd |  ok: [centos7]
2019-11-13 19:10:04,556 p=3219 u=yd |  ok: [ydBSD]
2019-11-13 19:10:04,601 p=3219 u=yd |  TASK [nginx_tags : Start nginx CentOS] ***********************************************************************************
2019-11-13 19:10:04,766 p=3219 u=yd |  skipping: [ydBSD]
2019-11-13 19:10:04,870 p=3219 u=yd |  skipping: [yd-ubuntu]
