2019-11-13 19:35:08,444 p=3970 u=yd |  PLAY [Install zip, unzip, gzip, nano on different VM's] ******************************************************************
2019-11-13 19:35:08,491 p=3970 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:35:16,420 p=3970 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:35:18,817 p=3970 u=yd |  ok: [ydBSD]
2019-11-13 19:35:20,163 p=3970 u=yd |  ok: [centos7]
2019-11-13 19:35:20,210 p=3970 u=yd |  TASK [zipnano_tags : Uninstall zip/nano CentOS] **************************************************************************
2019-11-13 19:35:20,396 p=3970 u=yd |  skipping: [ydBSD]
2019-11-13 19:35:20,400 p=3970 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:35:34,874 p=3970 u=yd |  changed: [centos7]
2019-11-13 19:35:34,924 p=3970 u=yd |  PLAY [ydBSD] *************************************************************************************************************
2019-11-13 19:35:34,982 p=3970 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:35:39,953 p=3970 u=yd |  ok: [ydBSD]
2019-11-13 19:35:39,994 p=3970 u=yd |  TASK [zipnano_tags : Uninstall zip/nano CentOS] **************************************************************************
2019-11-13 19:35:40,072 p=3970 u=yd |  skipping: [ydBSD]
2019-11-13 19:35:40,109 p=3970 u=yd |  PLAY [centos7] ***********************************************************************************************************
2019-11-13 19:35:40,186 p=3970 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:35:47,727 p=3970 u=yd |  ok: [centos7]
2019-11-13 19:35:47,790 p=3970 u=yd |  TASK [zipnano_tags : Uninstall zip/nano CentOS] **************************************************************************
2019-11-13 19:35:50,960 p=3970 u=yd |  ok: [centos7]
2019-11-13 19:35:51,005 p=3970 u=yd |  PLAY [yd-ubuntu] *********************************************************************************************************
2019-11-13 19:35:51,068 p=3970 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:35:54,467 p=3970 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:35:54,523 p=3970 u=yd |  TASK [zipnano_tags : Uninstall zip/nano CentOS] **************************************************************************
2019-11-13 19:35:54,599 p=3970 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:35:54,606 p=3970 u=yd |  PLAY RECAP ***************************************************************************************************************
2019-11-13 19:35:54,607 p=3970 u=yd |  centos7                    : ok=4    changed=1    unreachable=0    failed=0   
2019-11-13 19:35:54,608 p=3970 u=yd |  yd-ubuntu                  : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:35:54,609 p=3970 u=yd |  ydBSD                      : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:36:16,573 p=4159 u=yd |  PLAY [Install zip, unzip, gzip, nano on different VM's] ******************************************************************
2019-11-13 19:36:16,624 p=4159 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:36:23,049 p=4159 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:36:24,458 p=4159 u=yd |  ok: [centos7]
2019-11-13 19:36:25,602 p=4159 u=yd |  ok: [ydBSD]
2019-11-13 19:36:25,709 p=4159 u=yd |  TASK [zipnano_tags : Install zip/unzip/gzip/nano CentOS] *****************************************************************
2019-11-13 19:36:25,879 p=4159 u=yd |  skipping: [ydBSD]
2019-11-13 19:36:25,882 p=4159 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:37:12,774 p=4159 u=yd |  changed: [centos7]
2019-11-13 19:37:12,821 p=4159 u=yd |  PLAY [ydBSD] *************************************************************************************************************
2019-11-13 19:37:12,883 p=4159 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:37:17,662 p=4159 u=yd |  ok: [ydBSD]
2019-11-13 19:37:17,725 p=4159 u=yd |  TASK [zipnano_tags : Install zip/unzip/gzip/nano CentOS] *****************************************************************
2019-11-13 19:37:17,802 p=4159 u=yd |  skipping: [ydBSD]
2019-11-13 19:37:17,836 p=4159 u=yd |  PLAY [centos7] ***********************************************************************************************************
2019-11-13 19:37:17,905 p=4159 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:37:24,425 p=4159 u=yd |  ok: [centos7]
2019-11-13 19:37:24,491 p=4159 u=yd |  TASK [zipnano_tags : Install zip/unzip/gzip/nano CentOS] *****************************************************************
2019-11-13 19:37:54,226 p=4159 u=yd |  ok: [centos7]
2019-11-13 19:37:54,269 p=4159 u=yd |  PLAY [yd-ubuntu] *********************************************************************************************************
2019-11-13 19:37:54,335 p=4159 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:37:58,032 p=4159 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:37:58,093 p=4159 u=yd |  TASK [zipnano_tags : Install zip/unzip/gzip/nano CentOS] *****************************************************************
2019-11-13 19:37:58,172 p=4159 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:37:58,179 p=4159 u=yd |  PLAY RECAP ***************************************************************************************************************
2019-11-13 19:37:58,180 p=4159 u=yd |  centos7                    : ok=4    changed=1    unreachable=0    failed=0   
2019-11-13 19:37:58,181 p=4159 u=yd |  yd-ubuntu                  : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:37:58,183 p=4159 u=yd |  ydBSD                      : ok=2    changed=0    unreachable=0    failed=0   
